HR and LR resolutions: (576, 384), (144, 96)
PSNR bicubic: 23.1048   PSNR nearest: 20.8212
Starting optimization with ADAM
Iteration 00098    PSNR_LR 19.985   PSNR_HR 18.124 
Iteration 00099    PSNR_LR 19.995   PSNR_HR 18.130 
Iteration 00100    PSNR_LR 19.950   PSNR_HR 18.094 
Iteration 00101    PSNR_LR 20.077   PSNR_HR 18.226 
Iteration 00102    PSNR_LR 20.153   PSNR_HR 18.246 
Iteration 00103    PSNR_LR 20.211   PSNR_HR 18.253 
Iteration 00104    PSNR_LR 19.595   PSNR_HR 17.920 
Iteration 00105    PSNR_LR 20.269   PSNR_HR 18.381 
Iteration 00106    PSNR_LR 19.898   PSNR_HR 18.083 
Iteration 00107    PSNR_LR 20.265   PSNR_HR 18.350 
Iteration 00108    PSNR_LR 20.229   PSNR_HR 18.374 
Iteration 00109    PSNR_LR 20.397   PSNR_HR 18.422 
Iteration 00110    PSNR_LR 20.425   PSNR_HR 18.421 
Iteration 00111    PSNR_LR 20.453   PSNR_HR 18.483 
Iteration 00112    PSNR_LR 20.573   PSNR_HR 18.561 
Iteration 00113    PSNR_LR 20.795   PSNR_HR 18.701 
Iteration 00114    PSNR_LR 20.686   PSNR_HR 18.645 
Iteration 00115    PSNR_LR 20.904   PSNR_HR 18.817 
Iteration 00116    PSNR_LR 20.810   PSNR_HR 18.706 
Iteration 00117    PSNR_LR 20.919   PSNR_HR 18.795 
Iteration 00118    PSNR_LR 21.005   PSNR_HR 18.857 
Iteration 00119    PSNR_LR 21.078   PSNR_HR 18.890 
Iteration 00120    PSNR_LR 21.181   PSNR_HR 18.931 
Iteration 00121    PSNR_LR 21.049   PSNR_HR 18.892 
Iteration 00122    PSNR_LR 21.169   PSNR_HR 18.930 
Iteration 00123    PSNR_LR 21.048   PSNR_HR 18.897 
Iteration 00124    PSNR_LR 21.194   PSNR_HR 18.985 
Iteration 00125    PSNR_LR 21.149   PSNR_HR 18.946 
Iteration 00126    PSNR_LR 21.301   PSNR_HR 19.074 
Iteration 00127    PSNR_LR 21.108   PSNR_HR 18.910 
Iteration 00128    PSNR_LR 20.727   PSNR_HR 18.713 
Iteration 00129    PSNR_LR 21.026   PSNR_HR 18.873 
Iteration 00130    PSNR_LR 21.098   PSNR_HR 18.886 
Iteration 00131    PSNR_LR 21.392   PSNR_HR 19.137 
Iteration 00132    PSNR_LR 21.197   PSNR_HR 19.011 
Iteration 00133    PSNR_LR 21.467   PSNR_HR 19.198 
Iteration 00134    PSNR_LR 21.450   PSNR_HR 19.146 
Iteration 00135    PSNR_LR 21.481   PSNR_HR 19.161 
Iteration 00136    PSNR_LR 21.497   PSNR_HR 19.170 
Iteration 00137    PSNR_LR 21.459   PSNR_HR 19.151 
Iteration 00138    PSNR_LR 21.348   PSNR_HR 19.062 
Iteration 00139    PSNR_LR 21.666   PSNR_HR 19.284 
Iteration 00140    PSNR_LR 21.646   PSNR_HR 19.282 
Iteration 00141    PSNR_LR 21.736   PSNR_HR 19.375 
Iteration 00142    PSNR_LR 21.693   PSNR_HR 19.316 
Iteration 00143    PSNR_LR 21.790   PSNR_HR 19.370 
Iteration 00144    PSNR_LR 21.694   PSNR_HR 19.298 
Iteration 00145    PSNR_LR 21.514   PSNR_HR 19.210 
Iteration 00146    PSNR_LR 21.587   PSNR_HR 19.176 
Iteration 00147    PSNR_LR 21.096   PSNR_HR 19.023 
Iteration 00148    PSNR_LR 21.341   PSNR_HR 19.085 
Iteration 00149    PSNR_LR 21.616   PSNR_HR 19.267 
Iteration 00150    PSNR_LR 21.455   PSNR_HR 19.237 
Iteration 00151    PSNR_LR 21.579   PSNR_HR 19.287 
Iteration 00152    PSNR_LR 21.868   PSNR_HR 19.402 
Iteration 00153    PSNR_LR 21.758   PSNR_HR 19.337 
Iteration 00154    PSNR_LR 22.044   PSNR_HR 19.587 
Iteration 00155    PSNR_LR 21.873   PSNR_HR 19.493 
