PSNR bicubic: 11.8722   PSNR nearest: 11.8722
Starting optimization with ADAM
Iteration 00098    PSNR_LR 7.569   PSNR_HR 7.207 
Iteration 00099    PSNR_LR 7.536   PSNR_HR 7.189 
Iteration 00100    PSNR_LR 7.570   PSNR_HR 7.204 
Iteration 00101    PSNR_LR 7.568   PSNR_HR 7.209 
Iteration 00102    PSNR_LR 7.536   PSNR_HR 7.189 
Iteration 00103    PSNR_LR 7.538   PSNR_HR 7.174 
Iteration 00104    PSNR_LR 7.559   PSNR_HR 7.188 
Iteration 00105    PSNR_LR 7.559   PSNR_HR 7.207 
Iteration 00106    PSNR_LR 7.547   PSNR_HR 7.175 
Iteration 00107    PSNR_LR 7.613   PSNR_HR 7.220 
Iteration 00108    PSNR_LR 7.592   PSNR_HR 7.207 
Iteration 00109    PSNR_LR 7.557   PSNR_HR 7.195 
Iteration 00110    PSNR_LR 7.591   PSNR_HR 7.214 
Iteration 00111    PSNR_LR 7.590   PSNR_HR 7.199 
Iteration 00112    PSNR_LR 7.601   PSNR_HR 7.227 
Iteration 00113    PSNR_LR 7.626   PSNR_HR 7.232 
Iteration 00114    PSNR_LR 7.637   PSNR_HR 7.241 
Iteration 00115    PSNR_LR 7.611   PSNR_HR 7.230 
Iteration 00116    PSNR_LR 7.611   PSNR_HR 7.216 
Iteration 00117    PSNR_LR 7.618   PSNR_HR 7.233 
Iteration 00118    PSNR_LR 7.624   PSNR_HR 7.237 
Iteration 00119    PSNR_LR 7.654   PSNR_HR 7.233 
Iteration 00120    PSNR_LR 7.665   PSNR_HR 7.255 
Iteration 00121    PSNR_LR 7.680   PSNR_HR 7.262 
Iteration 00122    PSNR_LR 7.660   PSNR_HR 7.253 
Iteration 00123    PSNR_LR 7.695   PSNR_HR 7.269 
Iteration 00124    PSNR_LR 7.649   PSNR_HR 7.237 
Iteration 00125    PSNR_LR 7.695   PSNR_HR 7.260 
Iteration 00126    PSNR_LR 7.699   PSNR_HR 7.270 
Iteration 00127    PSNR_LR 7.679   PSNR_HR 7.253 
Iteration 00128    PSNR_LR 7.674   PSNR_HR 7.262 
Iteration 00129    PSNR_LR 7.693   PSNR_HR 7.270 
Iteration 00130    PSNR_LR 7.695   PSNR_HR 7.269 
Iteration 00131    PSNR_LR 7.667   PSNR_HR 7.249 
Iteration 00132    PSNR_LR 7.691   PSNR_HR 7.255 
Iteration 00133    PSNR_LR 7.691   PSNR_HR 7.268 
Iteration 00134    PSNR_LR 7.696   PSNR_HR 7.237 
Iteration 00135    PSNR_LR 7.692   PSNR_HR 7.251 
Iteration 00136    PSNR_LR 7.717   PSNR_HR 7.277 
Iteration 00137    PSNR_LR 7.752   PSNR_HR 7.293 
Iteration 00138    PSNR_LR 7.711   PSNR_HR 7.271 
Iteration 00139    PSNR_LR 7.747   PSNR_HR 7.312 
Iteration 00140    PSNR_LR 7.726   PSNR_HR 7.265 
Iteration 00141    PSNR_LR 7.752   PSNR_HR 7.277 
Iteration 00142    PSNR_LR 7.746   PSNR_HR 7.306 
Iteration 00143    PSNR_LR 7.749   PSNR_HR 7.281 
Iteration 00144    PSNR_LR 7.762   PSNR_HR 7.314 
Iteration 00145    PSNR_LR 7.789   PSNR_HR 7.334 
Iteration 00146    PSNR_LR 7.766   PSNR_HR 7.317 
Iteration 00147    PSNR_LR 7.776   PSNR_HR 7.314 
Iteration 00148    PSNR_LR 7.788   PSNR_HR 7.317 
Iteration 00149    PSNR_LR 7.772   PSNR_HR 7.313 
Iteration 00150    PSNR_LR 7.800   PSNR_HR 7.327 
Iteration 00151    PSNR_LR 7.763   PSNR_HR 7.298 
Iteration 00152    PSNR_LR 7.757   PSNR_HR 7.293 
Iteration 00153    PSNR_LR 7.786   PSNR_HR 7.320 
Iteration 00154    PSNR_LR 7.784   PSNR_HR 7.316 
Iteration 00155    PSNR_LR 7.823   PSNR_HR 7.338 
Iteration 00156    PSNR_LR 7.791   PSNR_HR 7.300 
Iteration 00157    PSNR_LR 7.808   PSNR_HR 7.357 
Iteration 00158    PSNR_LR 7.797   PSNR_HR 7.332 
Iteration 00159    PSNR_LR 7.791   PSNR_HR 7.333 
Iteration 00160    PSNR_LR 7.819   PSNR_HR 7.350 
Iteration 00161    PSNR_LR 7.834   PSNR_HR 7.351 
Iteration 00162    PSNR_LR 7.842   PSNR_HR 7.347 
Iteration 00163    PSNR_LR 7.826   PSNR_HR 7.344 
Iteration 00164    PSNR_LR 7.808   PSNR_HR 7.336 
Iteration 00165    PSNR_LR 7.855   PSNR_HR 7.354 
Iteration 00166    PSNR_LR 7.832   PSNR_HR 7.352 
Iteration 00167    PSNR_LR 7.866   PSNR_HR 7.368 
Iteration 00168    PSNR_LR 7.844   PSNR_HR 7.355 
Iteration 00169    PSNR_LR 7.877   PSNR_HR 7.366 
Iteration 00170    PSNR_LR 7.835   PSNR_HR 7.360 
Iteration 00171    PSNR_LR 7.873   PSNR_HR 7.350 
Iteration 00172    PSNR_LR 7.887   PSNR_HR 7.385 
Iteration 00173    PSNR_LR 7.882   PSNR_HR 7.368 
Iteration 00174    PSNR_LR 7.893   PSNR_HR 7.390 
Iteration 00175    PSNR_LR 7.870   PSNR_HR 7.364 
Iteration 00176    PSNR_LR 7.918   PSNR_HR 7.408 
Iteration 00177    PSNR_LR 7.910   PSNR_HR 7.400 
Iteration 00178    PSNR_LR 7.873   PSNR_HR 7.387 
Iteration 00179    PSNR_LR 7.900   PSNR_HR 7.403 
Iteration 00180    PSNR_LR 7.901   PSNR_HR 7.398 
Iteration 00181    PSNR_LR 7.911   PSNR_HR 7.403 
Iteration 00182    PSNR_LR 7.863   PSNR_HR 7.379 
Iteration 00183    PSNR_LR 7.917   PSNR_HR 7.394 
Iteration 00184    PSNR_LR 7.914   PSNR_HR 7.402 
Iteration 00185    PSNR_LR 7.941   PSNR_HR 7.408 
Iteration 00186    PSNR_LR 7.923   PSNR_HR 7.432 
Iteration 00187    PSNR_LR 7.903   PSNR_HR 7.394 
Iteration 00188    PSNR_LR 7.929   PSNR_HR 7.398 
Iteration 00189    PSNR_LR 7.934   PSNR_HR 7.399 
Iteration 00190    PSNR_LR 7.934   PSNR_HR 7.411 
Iteration 00191    PSNR_LR 7.957   PSNR_HR 7.432 
Iteration 00192    PSNR_LR 7.922   PSNR_HR 7.402 
Iteration 00193    PSNR_LR 7.960   PSNR_HR 7.425 
Iteration 00194    PSNR_LR 7.938   PSNR_HR 7.413 
Iteration 00195    PSNR_LR 7.971   PSNR_HR 7.431 
Iteration 00196    PSNR_LR 7.983   PSNR_HR 7.457 
Iteration 00197    PSNR_LR 7.982   PSNR_HR 7.430 
Iteration 00198    PSNR_LR 7.981   PSNR_HR 7.464 
Iteration 00199    PSNR_LR 8.003   PSNR_HR 7.460 
Iteration 00200    PSNR_LR 7.996   PSNR_HR 7.453 
Iteration 00201    PSNR_LR 7.996   PSNR_HR 7.473 
Iteration 00202    PSNR_LR 8.010   PSNR_HR 7.446 
Iteration 00203    PSNR_LR 7.997   PSNR_HR 7.470 
Iteration 00204    PSNR_LR 8.032   PSNR_HR 7.474 
Iteration 00205    PSNR_LR 8.038   PSNR_HR 7.470 
Iteration 00206    PSNR_LR 8.027   PSNR_HR 7.474 
Iteration 00207    PSNR_LR 8.029   PSNR_HR 7.498 
Iteration 00208    PSNR_LR 8.042   PSNR_HR 7.490 
Iteration 00209    PSNR_LR 8.040   PSNR_HR 7.493 
Iteration 00210    PSNR_LR 8.020   PSNR_HR 7.496 
Iteration 00211    PSNR_LR 8.058   PSNR_HR 7.511 
Iteration 00212    PSNR_LR 8.045   PSNR_HR 7.505 
Iteration 00213    PSNR_LR 8.060   PSNR_HR 7.528 
Iteration 00214    PSNR_LR 8.059   PSNR_HR 7.528 
Iteration 00215    PSNR_LR 8.089   PSNR_HR 7.528 
Iteration 00216    PSNR_LR 8.083   PSNR_HR 7.538 
Iteration 00217    PSNR_LR 8.073   PSNR_HR 7.541 
Iteration 00218    PSNR_LR 8.067   PSNR_HR 7.514 
Iteration 00219    PSNR_LR 8.095   PSNR_HR 7.511 
Iteration 00220    PSNR_LR 8.090   PSNR_HR 7.528 
Iteration 00221    PSNR_LR 8.101   PSNR_HR 7.537 
Iteration 00222    PSNR_LR 8.092   PSNR_HR 7.543 
Iteration 00223    PSNR_LR 8.100   PSNR_HR 7.532 
Iteration 00224    PSNR_LR 8.114   PSNR_HR 7.554 
Iteration 00225    PSNR_LR 8.096   PSNR_HR 7.564 
Iteration 00226    PSNR_LR 8.095   PSNR_HR 7.533 
Iteration 00227    PSNR_LR 8.134   PSNR_HR 7.559 
Iteration 00228    PSNR_LR 8.130   PSNR_HR 7.582 
Iteration 00229    PSNR_LR 8.117   PSNR_HR 7.561 
Iteration 00230    PSNR_LR 8.128   PSNR_HR 7.557 
Iteration 00231    PSNR_LR 8.114   PSNR_HR 7.553 
Iteration 00232    PSNR_LR 8.099   PSNR_HR 7.556 
Iteration 00233    PSNR_LR 8.134   PSNR_HR 7.584 
Iteration 00234    PSNR_LR 8.162   PSNR_HR 7.584 
Iteration 00235    PSNR_LR 8.159   PSNR_HR 7.607 
Iteration 00236    PSNR_LR 8.154   PSNR_HR 7.588 
Iteration 00237    PSNR_LR 8.156   PSNR_HR 7.591 
Iteration 00238    PSNR_LR 8.164   PSNR_HR 7.591 
Iteration 00239    PSNR_LR 8.146   PSNR_HR 7.597 
Iteration 00240    PSNR_LR 8.186   PSNR_HR 7.620 
Iteration 00241    PSNR_LR 8.173   PSNR_HR 7.630 
Iteration 00242    PSNR_LR 8.155   PSNR_HR 7.617 
Iteration 00243    PSNR_LR 8.207   PSNR_HR 7.644 
Iteration 00244    PSNR_LR 8.205   PSNR_HR 7.636 
Iteration 00245    PSNR_LR 8.202   PSNR_HR 7.647 
Iteration 00246    PSNR_LR 8.175   PSNR_HR 7.595 
Iteration 00247    PSNR_LR 8.192   PSNR_HR 7.612 
Iteration 00248    PSNR_LR 8.208   PSNR_HR 7.652 
Iteration 00249    PSNR_LR 8.210   PSNR_HR 7.639 
Iteration 00250    PSNR_LR 8.231   PSNR_HR 7.658 
Iteration 00251    PSNR_LR 8.219   PSNR_HR 7.659 
Iteration 00252    PSNR_LR 8.223   PSNR_HR 7.654 
Iteration 00253    PSNR_LR 8.249   PSNR_HR 7.669 
Iteration 00254    PSNR_LR 8.250   PSNR_HR 7.665 
Iteration 00255    PSNR_LR 8.254   PSNR_HR 7.669 
Iteration 00256    PSNR_LR 8.259   PSNR_HR 7.693 
Iteration 00257    PSNR_LR 8.246   PSNR_HR 7.668 
Iteration 00258    PSNR_LR 8.227   PSNR_HR 7.710 
Iteration 00259    PSNR_LR 8.241   PSNR_HR 7.702 
Iteration 00260    PSNR_LR 8.267   PSNR_HR 7.660 
Iteration 00261    PSNR_LR 8.250   PSNR_HR 7.674 
Iteration 00262    PSNR_LR 8.246   PSNR_HR 7.680 
Iteration 00263    PSNR_LR 8.288   PSNR_HR 7.725 
Iteration 00264    PSNR_LR 8.257   PSNR_HR 7.720 
Iteration 00265    PSNR_LR 8.277   PSNR_HR 7.712 
Iteration 00266    PSNR_LR 8.292   PSNR_HR 7.707 
Iteration 00267    PSNR_LR 8.295   PSNR_HR 7.716 
Iteration 00268    PSNR_LR 8.316   PSNR_HR 7.714 
Iteration 00269    PSNR_LR 8.261   PSNR_HR 7.718 
Iteration 00270    PSNR_LR 8.292   PSNR_HR 7.697 
Iteration 00271    PSNR_LR 8.311   PSNR_HR 7.746 
Iteration 00272    PSNR_LR 8.294   PSNR_HR 7.696 
Iteration 00273    PSNR_LR 8.325   PSNR_HR 7.748 
Iteration 00274    PSNR_LR 8.328   PSNR_HR 7.747 
Iteration 00275    PSNR_LR 8.320   PSNR_HR 7.754 
Iteration 00276    PSNR_LR 8.335   PSNR_HR 7.771 
Iteration 00277    PSNR_LR 8.329   PSNR_HR 7.742 
Iteration 00278    PSNR_LR 8.306   PSNR_HR 7.727 
Iteration 00279    PSNR_LR 8.352   PSNR_HR 7.783 
Iteration 00280    PSNR_LR 8.318   PSNR_HR 7.736 
Iteration 00281    PSNR_LR 8.371   PSNR_HR 7.788 
Iteration 00282    PSNR_LR 8.347   PSNR_HR 7.802 
Iteration 00283    PSNR_LR 8.363   PSNR_HR 7.792 
Iteration 00284    PSNR_LR 8.384   PSNR_HR 7.802 
Iteration 00285    PSNR_LR 8.386   PSNR_HR 7.794 
Iteration 00286    PSNR_LR 8.384   PSNR_HR 7.814 
Iteration 00287    PSNR_LR 8.344   PSNR_HR 7.778 
Iteration 00288    PSNR_LR 8.381   PSNR_HR 7.798 
Iteration 00289    PSNR_LR 8.332   PSNR_HR 7.750 
Iteration 00290    PSNR_LR 8.403   PSNR_HR 7.804 
Iteration 00291    PSNR_LR 8.415   PSNR_HR 7.852 
Iteration 00292    PSNR_LR 8.402   PSNR_HR 7.835 
Iteration 00293    PSNR_LR 8.394   PSNR_HR 7.819 
Iteration 00294    PSNR_LR 8.424   PSNR_HR 7.825 
Iteration 00295    PSNR_LR 8.408   PSNR_HR 7.829 
Iteration 00296    PSNR_LR 8.414   PSNR_HR 7.831 
Iteration 00297    PSNR_LR 8.433   PSNR_HR 7.844 
Iteration 00298    PSNR_LR 8.410   PSNR_HR 7.861 
Iteration 00299    PSNR_LR 8.424   PSNR_HR 7.876 
Iteration 00300    PSNR_LR 8.424   PSNR_HR 7.876 
Iteration 00301    PSNR_LR 8.395   PSNR_HR 7.827 
Iteration 00302    PSNR_LR 8.440   PSNR_HR 7.859 
Iteration 00303    PSNR_LR 8.434   PSNR_HR 7.839 
Iteration 00304    PSNR_LR 8.445   PSNR_HR 7.890 
Iteration 00305    PSNR_LR 8.481   PSNR_HR 7.907 
Iteration 00306    PSNR_LR 8.465   PSNR_HR 7.886 
Iteration 00307    PSNR_LR 8.478   PSNR_HR 7.910 
Iteration 00308    PSNR_LR 8.433   PSNR_HR 7.865 
Iteration 00309    PSNR_LR 8.471   PSNR_HR 7.898 
Iteration 00310    PSNR_LR 8.483   PSNR_HR 7.911 
Iteration 00311    PSNR_LR 8.489   PSNR_HR 7.892 
Iteration 00312    PSNR_LR 8.475   PSNR_HR 7.912 
Iteration 00313    PSNR_LR 8.489   PSNR_HR 7.909 
Iteration 00314    PSNR_LR 8.512   PSNR_HR 7.931 
Iteration 00315    PSNR_LR 8.507   PSNR_HR 7.917 
Iteration 00316    PSNR_LR 8.520   PSNR_HR 7.934 
Iteration 00317    PSNR_LR 8.474   PSNR_HR 7.910 
Iteration 00318    PSNR_LR 8.491   PSNR_HR 7.894 
Iteration 00319    PSNR_LR 8.519   PSNR_HR 7.934 
Iteration 00320    PSNR_LR 8.484   PSNR_HR 7.924 
Iteration 00321    PSNR_LR 8.506   PSNR_HR 7.907 
Iteration 00322    PSNR_LR 8.524   PSNR_HR 7.941 
Iteration 00323    PSNR_LR 8.509   PSNR_HR 7.950 
Iteration 00324    PSNR_LR 8.525   PSNR_HR 7.949 
Iteration 00325    PSNR_LR 8.523   PSNR_HR 7.924 
Iteration 00326    PSNR_LR 8.556   PSNR_HR 7.987 
Iteration 00327    PSNR_LR 8.518   PSNR_HR 7.933 
Iteration 00328    PSNR_LR 8.534   PSNR_HR 7.969 
Iteration 00329    PSNR_LR 8.517   PSNR_HR 7.940 
Iteration 00330    PSNR_LR 8.551   PSNR_HR 7.975 
Iteration 00331    PSNR_LR 8.574   PSNR_HR 7.997 
Iteration 00332    PSNR_LR 8.529   PSNR_HR 7.941 
Iteration 00333    PSNR_LR 8.562   PSNR_HR 7.982 
Iteration 00334    PSNR_LR 8.559   PSNR_HR 7.969 
Iteration 00335    PSNR_LR 8.563   PSNR_HR 8.008 
Iteration 00336    PSNR_LR 8.572   PSNR_HR 8.013 
Iteration 00337    PSNR_LR 8.576   PSNR_HR 8.006 
Iteration 00338    PSNR_LR 8.585   PSNR_HR 7.998 
Iteration 00339    PSNR_LR 8.588   PSNR_HR 8.009 
Iteration 00340    PSNR_LR 8.579   PSNR_HR 8.014 
Iteration 00341    PSNR_LR 8.590   PSNR_HR 7.995 
Iteration 00342    PSNR_LR 8.564   PSNR_HR 7.978 
Iteration 00343    PSNR_LR 8.585   PSNR_HR 8.000 
Iteration 00344    PSNR_LR 8.616   PSNR_HR 8.041 
Iteration 00345    PSNR_LR 8.604   PSNR_HR 8.008 
Iteration 00346    PSNR_LR 8.592   PSNR_HR 8.029 
Iteration 00347    PSNR_LR 8.606   PSNR_HR 8.040 
Iteration 00348    PSNR_LR 8.619   PSNR_HR 8.034 
Iteration 00349    PSNR_LR 8.625   PSNR_HR 8.047 
Iteration 00350    PSNR_LR 8.587   PSNR_HR 8.037 
Iteration 00351    PSNR_LR 8.605   PSNR_HR 8.018 
Iteration 00352    PSNR_LR 8.624   PSNR_HR 8.065 
Iteration 00353    PSNR_LR 8.628   PSNR_HR 8.047 
Iteration 00354    PSNR_LR 8.628   PSNR_HR 8.041 
Iteration 00355    PSNR_LR 8.637   PSNR_HR 8.045 
Iteration 00356    PSNR_LR 8.647   PSNR_HR 8.057 
Iteration 00357    PSNR_LR 8.640   PSNR_HR 8.054 
