HR and LR resolutions: (576, 384), (144, 96)
PSNR bicubic: 23.1048   PSNR nearest: 20.8212
Starting optimization with ADAM
Iteration 00098    PSNR_LR 19.944   PSNR_HR 18.118 
Iteration 00099    PSNR_LR 19.637   PSNR_HR 17.939 
Iteration 00100    PSNR_LR 20.113   PSNR_HR 18.259 
Iteration 00101    PSNR_LR 19.940   PSNR_HR 18.087 
Iteration 00102    PSNR_LR 20.062   PSNR_HR 18.183 
Iteration 00103    PSNR_LR 20.238   PSNR_HR 18.330 
Iteration 00104    PSNR_LR 20.146   PSNR_HR 18.301 
Iteration 00105    PSNR_LR 20.389   PSNR_HR 18.455 
Iteration 00106    PSNR_LR 20.618   PSNR_HR 18.570 
Iteration 00107    PSNR_LR 20.511   PSNR_HR 18.524 
Iteration 00108    PSNR_LR 20.513   PSNR_HR 18.521 
Iteration 00109    PSNR_LR 20.517   PSNR_HR 18.556 
Iteration 00110    PSNR_LR 20.669   PSNR_HR 18.662 
Iteration 00111    PSNR_LR 20.578   PSNR_HR 18.579 
Iteration 00112    PSNR_LR 20.778   PSNR_HR 18.669 
Iteration 00113    PSNR_LR 20.685   PSNR_HR 18.616 
Iteration 00114    PSNR_LR 20.783   PSNR_HR 18.707 
Iteration 00115    PSNR_LR 20.826   PSNR_HR 18.689 
Iteration 00116    PSNR_LR 20.692   PSNR_HR 18.600 
Iteration 00117    PSNR_LR 20.677   PSNR_HR 18.594 
Iteration 00118    PSNR_LR 20.916   PSNR_HR 18.768 
Iteration 00119    PSNR_LR 20.990   PSNR_HR 18.820 
Iteration 00120    PSNR_LR 20.969   PSNR_HR 18.806 
Iteration 00121    PSNR_LR 21.128   PSNR_HR 18.884 
Iteration 00122    PSNR_LR 21.055   PSNR_HR 18.868 
Iteration 00123    PSNR_LR 20.967   PSNR_HR 18.798 
Iteration 00124    PSNR_LR 21.179   PSNR_HR 18.911 
Iteration 00125    PSNR_LR 21.199   PSNR_HR 18.967 
Iteration 00126    PSNR_LR 21.203   PSNR_HR 19.006 
Iteration 00127    PSNR_LR 21.378   PSNR_HR 19.098 
Iteration 00128    PSNR_LR 21.268   PSNR_HR 18.990 
Iteration 00129    PSNR_LR 21.320   PSNR_HR 19.025 
Iteration 00130    PSNR_LR 21.273   PSNR_HR 19.031 
Iteration 00131    PSNR_LR 21.430   PSNR_HR 19.124 
Iteration 00132    PSNR_LR 21.407   PSNR_HR 19.057 
Iteration 00133    PSNR_LR 21.575   PSNR_HR 19.187 
Iteration 00134    PSNR_LR 21.535   PSNR_HR 19.148 
Iteration 00135    PSNR_LR 21.513   PSNR_HR 19.131 
Iteration 00136    PSNR_LR 21.461   PSNR_HR 19.121 
Iteration 00137    PSNR_LR 21.307   PSNR_HR 19.007 
Iteration 00138    PSNR_LR 21.359   PSNR_HR 19.153 
Iteration 00139    PSNR_LR 21.583   PSNR_HR 19.267 
Iteration 00140    PSNR_LR 21.506   PSNR_HR 19.183 
Iteration 00141    PSNR_LR 21.474   PSNR_HR 19.156 
Iteration 00142    PSNR_LR 21.416   PSNR_HR 19.170 
Iteration 00143    PSNR_LR 21.651   PSNR_HR 19.252 
Iteration 00144    PSNR_LR 21.352   PSNR_HR 19.067 
Iteration 00145    PSNR_LR 20.776   PSNR_HR 18.820 
Iteration 00146    PSNR_LR 21.334   PSNR_HR 19.157 
Iteration 00147    PSNR_LR 21.579   PSNR_HR 19.279 
Iteration 00148    PSNR_LR 21.481   PSNR_HR 19.219 
Iteration 00149    PSNR_LR 21.698   PSNR_HR 19.305 
Iteration 00150    PSNR_LR 21.428   PSNR_HR 19.108 
Iteration 00151    PSNR_LR 21.704   PSNR_HR 19.303 
Iteration 00152    PSNR_LR 22.056   PSNR_HR 19.565 
Iteration 00153    PSNR_LR 21.901   PSNR_HR 19.476 
Iteration 00154    PSNR_LR 21.977   PSNR_HR 19.502 
Iteration 00155    PSNR_LR 22.178   PSNR_HR 19.606 
Iteration 00156    PSNR_LR 22.080   PSNR_HR 19.537 
Iteration 00157    PSNR_LR 21.942   PSNR_HR 19.454 
Iteration 00158    PSNR_LR 22.193   PSNR_HR 19.596 
Iteration 00159    PSNR_LR 22.026   PSNR_HR 19.484 
Iteration 00160    PSNR_LR 22.173   PSNR_HR 19.615 
Iteration 00161    PSNR_LR 22.272   PSNR_HR 19.640 
Iteration 00162    PSNR_LR 22.169   PSNR_HR 19.558 
Iteration 00163    PSNR_LR 22.210   PSNR_HR 19.625 
Iteration 00164    PSNR_LR 22.268   PSNR_HR 19.686 
Iteration 00165    PSNR_LR 22.414   PSNR_HR 19.794 
Iteration 00166    PSNR_LR 22.239   PSNR_HR 19.675 
Iteration 00167    PSNR_LR 22.471   PSNR_HR 19.818 
Iteration 00168    PSNR_LR 22.327   PSNR_HR 19.707 
Iteration 00169    PSNR_LR 21.743   PSNR_HR 19.410 
Iteration 00170    PSNR_LR 21.937   PSNR_HR 19.503 
Iteration 00171    PSNR_LR 22.262   PSNR_HR 19.702 
Iteration 00172    PSNR_LR 22.104   PSNR_HR 19.620 
Iteration 00173    PSNR_LR 22.358   PSNR_HR 19.795 
Iteration 00174    PSNR_LR 22.517   PSNR_HR 19.837 
Iteration 00175    PSNR_LR 22.254   PSNR_HR 19.664 
Iteration 00176    PSNR_LR 22.684   PSNR_HR 19.985 
Iteration 00177    PSNR_LR 22.353   PSNR_HR 19.802 
Iteration 00178    PSNR_LR 22.620   PSNR_HR 19.921 
Iteration 00179    PSNR_LR 22.232   PSNR_HR 19.581 
Iteration 00180    PSNR_LR 21.668   PSNR_HR 19.381 
Iteration 00181    PSNR_LR 22.169   PSNR_HR 19.592 
Iteration 00182    PSNR_LR 22.423   PSNR_HR 19.773 
Iteration 00183    PSNR_LR 22.286   PSNR_HR 19.756 
Iteration 00184    PSNR_LR 22.688   PSNR_HR 19.979 
Iteration 00185    PSNR_LR 22.658   PSNR_HR 19.963 
Iteration 00186    PSNR_LR 22.453   PSNR_HR 19.819 
Iteration 00187    PSNR_LR 22.644   PSNR_HR 19.952 
Iteration 00188    PSNR_LR 22.503   PSNR_HR 19.837 
Iteration 00189    PSNR_LR 22.714   PSNR_HR 20.031 
Iteration 00190    PSNR_LR 22.728   PSNR_HR 20.018 
Iteration 00191    PSNR_LR 22.630   PSNR_HR 19.834 
Iteration 00192    PSNR_LR 22.801   PSNR_HR 20.025 
Iteration 00193    PSNR_LR 22.909   PSNR_HR 20.122 
Iteration 00194    PSNR_LR 23.035   PSNR_HR 20.194 
Iteration 00195    PSNR_LR 23.026   PSNR_HR 20.141 
Iteration 00196    PSNR_LR 22.848   PSNR_HR 20.055 
Iteration 00197    PSNR_LR 22.831   PSNR_HR 20.081 
Iteration 00198    PSNR_LR 22.999   PSNR_HR 20.121 
Iteration 00199    PSNR_LR 22.799   PSNR_HR 19.945 
Iteration 00200    PSNR_LR 23.122   PSNR_HR 20.201 
Iteration 00201    PSNR_LR 22.972   PSNR_HR 20.167 
Iteration 00202    PSNR_LR 22.850   PSNR_HR 20.066 
Iteration 00203    PSNR_LR 22.086   PSNR_HR 19.708 
Iteration 00204    PSNR_LR 21.418   PSNR_HR 19.067 
Iteration 00205    PSNR_LR 22.154   PSNR_HR 19.598 
Iteration 00206    PSNR_LR 22.556   PSNR_HR 19.866 
Iteration 00207    PSNR_LR 22.702   PSNR_HR 19.974 
Iteration 00208    PSNR_LR 22.581   PSNR_HR 19.947 
Iteration 00209    PSNR_LR 22.568   PSNR_HR 19.947 
Iteration 00210    PSNR_LR 22.739   PSNR_HR 20.020 
Iteration 00211    PSNR_LR 22.824   PSNR_HR 20.044 
Iteration 00212    PSNR_LR 22.690   PSNR_HR 19.938 
Iteration 00213    PSNR_LR 22.946   PSNR_HR 20.116 
Iteration 00214    PSNR_LR 22.738   PSNR_HR 20.051 
Iteration 00215    PSNR_LR 22.936   PSNR_HR 20.017 
Iteration 00216    PSNR_LR 22.990   PSNR_HR 20.099 
Iteration 00217    PSNR_LR 22.715   PSNR_HR 20.050 
Iteration 00218    PSNR_LR 23.009   PSNR_HR 20.124 
Iteration 00219    PSNR_LR 23.246   PSNR_HR 20.222 
Iteration 00220    PSNR_LR 23.090   PSNR_HR 20.192 
Iteration 00221    PSNR_LR 23.111   PSNR_HR 20.211 
Iteration 00222    PSNR_LR 23.310   PSNR_HR 20.307 
Iteration 00223    PSNR_LR 23.329   PSNR_HR 20.266 
Iteration 00224    PSNR_LR 23.505   PSNR_HR 20.401 
Iteration 00225    PSNR_LR 23.482   PSNR_HR 20.400 
Iteration 00226    PSNR_LR 23.349   PSNR_HR 20.274 
Iteration 00227    PSNR_LR 23.298   PSNR_HR 20.213 
Iteration 00228    PSNR_LR 23.518   PSNR_HR 20.454 
Iteration 00229    PSNR_LR 23.292   PSNR_HR 20.299 
Iteration 00230    PSNR_LR 23.571   PSNR_HR 20.429 
Iteration 00231    PSNR_LR 23.423   PSNR_HR 20.279 
Iteration 00232    PSNR_LR 23.576   PSNR_HR 20.432 
Iteration 00233    PSNR_LR 23.583   PSNR_HR 20.440 
Iteration 00234    PSNR_LR 23.685   PSNR_HR 20.500 
Iteration 00235    PSNR_LR 23.521   PSNR_HR 20.382 
Iteration 00236    PSNR_LR 23.572   PSNR_HR 20.432 
Iteration 00237    PSNR_LR 23.590   PSNR_HR 20.494 
Iteration 00238    PSNR_LR 23.570   PSNR_HR 20.469 
Iteration 00239    PSNR_LR 23.679   PSNR_HR 20.519 
Iteration 00240    PSNR_LR 23.814   PSNR_HR 20.593 
Iteration 00241    PSNR_LR 23.427   PSNR_HR 20.444 
Iteration 00242    PSNR_LR 22.904   PSNR_HR 20.085 
Iteration 00243    PSNR_LR 23.730   PSNR_HR 20.615 
Iteration 00244    PSNR_LR 23.541   PSNR_HR 20.566 
Iteration 00245    PSNR_LR 23.426   PSNR_HR 20.462 
Iteration 00246    PSNR_LR 23.783   PSNR_HR 20.580 
Iteration 00247    PSNR_LR 23.787   PSNR_HR 20.472 
Iteration 00248    PSNR_LR 23.618   PSNR_HR 20.313 
Iteration 00249    PSNR_LR 23.901   PSNR_HR 20.493 
Iteration 00250    PSNR_LR 23.970   PSNR_HR 20.606 
Iteration 00251    PSNR_LR 23.858   PSNR_HR 20.582 
