Number of params: 2217831
Starting optimization with ADAM
Iteration 00050    Loss 0.022617   PSNR_noisy: 16.455580   PSRN_gt: 18.651571 PSNR_gt_sm: 13.882567 
Iteration 00051    Loss 0.022801   PSNR_noisy: 16.420431   PSRN_gt: 18.600821 PSNR_gt_sm: 13.941106 
Iteration 00052    Loss 0.021957   PSNR_noisy: 16.584314   PSRN_gt: 18.876386 PSNR_gt_sm: 14.000412 
Iteration 00053    Loss 0.022503   PSNR_noisy: 16.477577   PSRN_gt: 18.700477 PSNR_gt_sm: 14.059044 
Iteration 00054    Loss 0.022214   PSNR_noisy: 16.533717   PSRN_gt: 18.787422 PSNR_gt_sm: 14.118307 
Iteration 00055    Loss 0.021528   PSNR_noisy: 16.669982   PSRN_gt: 19.023565 PSNR_gt_sm: 14.177550 
Iteration 00056    Loss 0.022161   PSNR_noisy: 16.544028   PSRN_gt: 18.805665 PSNR_gt_sm: 14.235558 
Iteration 00057    Loss 0.021464   PSNR_noisy: 16.682952   PSRN_gt: 19.043290 PSNR_gt_sm: 14.294311 
Iteration 00058    Loss 0.021287   PSNR_noisy: 16.718950   PSRN_gt: 19.106576 PSNR_gt_sm: 14.352562 
Iteration 00059    Loss 0.021222   PSNR_noisy: 16.732064   PSRN_gt: 19.128347 PSNR_gt_sm: 14.410404 
Iteration 00060    Loss 0.020913   PSNR_noisy: 16.795739   PSRN_gt: 19.237637 PSNR_gt_sm: 14.467681 
Iteration 00061    Loss 0.020851   PSNR_noisy: 16.808729   PSRN_gt: 19.264868 PSNR_gt_sm: 14.526035 
Iteration 00062    Loss 0.020763   PSNR_noisy: 16.827034   PSRN_gt: 19.299650 PSNR_gt_sm: 14.584551 
Iteration 00063    Loss 0.020704   PSNR_noisy: 16.839562   PSRN_gt: 19.322169 PSNR_gt_sm: 14.642825 
Iteration 00064    Loss 0.020211   PSNR_noisy: 16.944023   PSRN_gt: 19.502090 PSNR_gt_sm: 14.701512 
Iteration 00065    Loss 0.020651   PSNR_noisy: 16.850669   PSRN_gt: 19.336049 PSNR_gt_sm: 14.759150 
Iteration 00066    Loss 0.020610   PSNR_noisy: 16.859122   PSRN_gt: 19.352494 PSNR_gt_sm: 14.816626 
Iteration 00067    Loss 0.020157   PSNR_noisy: 16.955714   PSRN_gt: 19.521651 PSNR_gt_sm: 14.874279 
Iteration 00068    Loss 0.019882   PSNR_noisy: 17.015408   PSRN_gt: 19.639803 PSNR_gt_sm: 14.932469 
Iteration 00069    Loss 0.019762   PSNR_noisy: 17.041782   PSRN_gt: 19.681644 PSNR_gt_sm: 14.990138 
Iteration 00070    Loss 0.019556   PSNR_noisy: 17.087215   PSRN_gt: 19.762770 PSNR_gt_sm: 15.047725 
Iteration 00071    Loss 0.019777   PSNR_noisy: 17.038473   PSRN_gt: 19.678506 PSNR_gt_sm: 15.105084 
Iteration 00072    Loss 0.019647   PSNR_noisy: 17.067132   PSRN_gt: 19.728569 PSNR_gt_sm: 15.162769 
Iteration 00073    Loss 0.019072   PSNR_noisy: 17.196050   PSRN_gt: 19.976695 PSNR_gt_sm: 15.219979 
Iteration 00074    Loss 0.019358   PSNR_noisy: 17.131380   PSRN_gt: 19.847885 PSNR_gt_sm: 15.277452 
Iteration 00075    Loss 0.019324   PSNR_noisy: 17.139104   PSRN_gt: 19.872204 PSNR_gt_sm: 15.334828 
Iteration 00076    Loss 0.018879   PSNR_noisy: 17.240140   PSRN_gt: 20.062422 PSNR_gt_sm: 15.392764 
Iteration 00077    Loss 0.018861   PSNR_noisy: 17.244364   PSRN_gt: 20.069783 PSNR_gt_sm: 15.451302 
Iteration 00078    Loss 0.018824   PSNR_noisy: 17.252873   PSRN_gt: 20.084908 PSNR_gt_sm: 15.509493 
Iteration 00079    Loss 0.018749   PSNR_noisy: 17.270107   PSRN_gt: 20.114116 PSNR_gt_sm: 15.566336 
Iteration 00080    Loss 0.018659   PSNR_noisy: 17.291138   PSRN_gt: 20.161984 PSNR_gt_sm: 15.622145 
Iteration 00081    Loss 0.019000   PSNR_noisy: 17.212360   PSRN_gt: 20.008794 PSNR_gt_sm: 15.678276 
Iteration 00082    Loss 0.018321   PSNR_noisy: 17.370502   PSRN_gt: 20.315395 PSNR_gt_sm: 15.735297 
Iteration 00083    Loss 0.018141   PSNR_noisy: 17.413357   PSRN_gt: 20.403903 PSNR_gt_sm: 15.793046 
Iteration 00084    Loss 0.018361   PSNR_noisy: 17.360965   PSRN_gt: 20.303873 PSNR_gt_sm: 15.850696 
Iteration 00085    Loss 0.018044   PSNR_noisy: 17.436691   PSRN_gt: 20.447657 PSNR_gt_sm: 15.908587 
Iteration 00086    Loss 0.018090   PSNR_noisy: 17.425627   PSRN_gt: 20.436743 PSNR_gt_sm: 15.966109 
Iteration 00087    Loss 0.018004   PSNR_noisy: 17.446256   PSRN_gt: 20.471668 PSNR_gt_sm: 16.023602 
Iteration 00088    Loss 0.017976   PSNR_noisy: 17.453163   PSRN_gt: 20.480332 PSNR_gt_sm: 16.079652 
Iteration 00089    Loss 0.017940   PSNR_noisy: 17.461892   PSRN_gt: 20.491284 PSNR_gt_sm: 16.135051 
Iteration 00090    Loss 0.018029   PSNR_noisy: 17.440347   PSRN_gt: 20.447458 PSNR_gt_sm: 16.189473 
Iteration 00091    Loss 0.017725   PSNR_noisy: 17.514074   PSRN_gt: 20.603216 PSNR_gt_sm: 16.244979 
Iteration 00092    Loss 0.017782   PSNR_noisy: 17.500108   PSRN_gt: 20.568936 PSNR_gt_sm: 16.300201 
Iteration 00093    Loss 0.017567   PSNR_noisy: 17.553074   PSRN_gt: 20.680707 PSNR_gt_sm: 16.356648 
Iteration 00094    Loss 0.017826   PSNR_noisy: 17.489468   PSRN_gt: 20.557602 PSNR_gt_sm: 16.412784 
Iteration 00095    Loss 0.017684   PSNR_noisy: 17.524244   PSRN_gt: 20.629490 PSNR_gt_sm: 16.469443 
Iteration 00096    Loss 0.017420   PSNR_noisy: 17.589537   PSRN_gt: 20.764833 PSNR_gt_sm: 16.525187 
Iteration 00097    Loss 0.017564   PSNR_noisy: 17.553706   PSRN_gt: 20.683095 PSNR_gt_sm: 16.579826 
Iteration 00098    Loss 0.017357   PSNR_noisy: 17.605207   PSRN_gt: 20.793873 PSNR_gt_sm: 16.633780 
Iteration 00099    Loss 0.017178   PSNR_noisy: 17.650387   PSRN_gt: 20.882732 PSNR_gt_sm: 16.687596 
Iteration 00100    Loss 0.017236   PSNR_noisy: 17.635735   PSRN_gt: 20.860559 PSNR_gt_sm: 16.741667 
Iteration 00101    Loss 0.017363   PSNR_noisy: 17.603702   PSRN_gt: 20.795584 PSNR_gt_sm: 16.795579 
Iteration 00102    Loss 0.017037   PSNR_noisy: 17.686049   PSRN_gt: 20.968511 PSNR_gt_sm: 16.850437 
Iteration 00103    Loss 0.017149   PSNR_noisy: 17.657524   PSRN_gt: 20.903074 PSNR_gt_sm: 16.904783 
Iteration 00104    Loss 0.016918   PSNR_noisy: 17.716405   PSRN_gt: 21.031979 PSNR_gt_sm: 16.959776 
Iteration 00105    Loss 0.016863   PSNR_noisy: 17.730620   PSRN_gt: 21.065984 PSNR_gt_sm: 17.015295 
Iteration 00106    Loss 0.016964   PSNR_noisy: 17.704838   PSRN_gt: 21.004563 PSNR_gt_sm: 17.069473 
Iteration 00107    Loss 0.017023   PSNR_noisy: 17.689766   PSRN_gt: 20.969503 PSNR_gt_sm: 17.122620 
Iteration 00108    Loss 0.016813   PSNR_noisy: 17.743554   PSRN_gt: 21.093717 PSNR_gt_sm: 17.175695 
Iteration 00109    Loss 0.016655   PSNR_noisy: 17.784495   PSRN_gt: 21.176579 PSNR_gt_sm: 17.228778 
Iteration 00110    Loss 0.016763   PSNR_noisy: 17.756598   PSRN_gt: 21.114948 PSNR_gt_sm: 17.280558 
Iteration 00111    Loss 0.016892   PSNR_noisy: 17.723119   PSRN_gt: 21.042020 PSNR_gt_sm: 17.331478 
Iteration 00112    Loss 0.016555   PSNR_noisy: 17.810830   PSRN_gt: 21.231361 PSNR_gt_sm: 17.383544 
Iteration 00113    Loss 0.016642   PSNR_noisy: 17.787889   PSRN_gt: 21.186599 PSNR_gt_sm: 17.434161 
Iteration 00114    Loss 0.016668   PSNR_noisy: 17.781127   PSRN_gt: 21.175810 PSNR_gt_sm: 17.485254 
Iteration 00115    Loss 0.016828   PSNR_noisy: 17.739645   PSRN_gt: 21.079565 PSNR_gt_sm: 17.537802 
Iteration 00116    Loss 0.016457   PSNR_noisy: 17.836615   PSRN_gt: 21.289358 PSNR_gt_sm: 17.590192 
Iteration 00117    Loss 0.016323   PSNR_noisy: 17.872048   PSRN_gt: 21.374881 PSNR_gt_sm: 17.642281 
Iteration 00118    Loss 0.016420   PSNR_noisy: 17.846320   PSRN_gt: 21.311215 PSNR_gt_sm: 17.693397 
Iteration 00119    Loss 0.016527   PSNR_noisy: 17.817948   PSRN_gt: 21.254390 PSNR_gt_sm: 17.743629 
Iteration 00120    Loss 0.016412   PSNR_noisy: 17.848328   PSRN_gt: 21.324996 PSNR_gt_sm: 17.794101 
Iteration 00121    Loss 0.016103   PSNR_noisy: 17.931065   PSRN_gt: 21.515724 PSNR_gt_sm: 17.845526 
Iteration 00122    Loss 0.016230   PSNR_noisy: 17.896852   PSRN_gt: 21.429732 PSNR_gt_sm: 17.896446 
Iteration 00123    Loss 0.016192   PSNR_noisy: 17.907013   PSRN_gt: 21.457589 PSNR_gt_sm: 17.947900 
Iteration 00124    Loss 0.016200   PSNR_noisy: 17.904831   PSRN_gt: 21.446898 PSNR_gt_sm: 17.998673 
Iteration 00125    Loss 0.016117   PSNR_noisy: 17.927061   PSRN_gt: 21.501861 PSNR_gt_sm: 18.048229 
Iteration 00126    Loss 0.016111   PSNR_noisy: 17.928699   PSRN_gt: 21.503547 PSNR_gt_sm: 18.097099 
Iteration 00127    Loss 0.015899   PSNR_noisy: 17.986349   PSRN_gt: 21.629713 PSNR_gt_sm: 18.145275 
Iteration 00128    Loss 0.015787   PSNR_noisy: 18.016966   PSRN_gt: 21.701477 PSNR_gt_sm: 18.194165 
Iteration 00129    Loss 0.015922   PSNR_noisy: 17.979999   PSRN_gt: 21.625147 PSNR_gt_sm: 18.242694 
Iteration 00130    Loss 0.016093   PSNR_noisy: 17.933574   PSRN_gt: 21.517790 PSNR_gt_sm: 18.291362 
Iteration 00131    Loss 0.016075   PSNR_noisy: 17.938472   PSRN_gt: 21.524979 PSNR_gt_sm: 18.340497 
Iteration 00132    Loss 0.016201   PSNR_noisy: 17.904666   PSRN_gt: 21.444920 PSNR_gt_sm: 18.388831 
Iteration 00133    Loss 0.015655   PSNR_noisy: 18.053460   PSRN_gt: 21.786078 PSNR_gt_sm: 18.438615 
Iteration 00134    Loss 0.015875   PSNR_noisy: 17.992877   PSRN_gt: 21.656382 PSNR_gt_sm: 18.486413 
Iteration 00135    Loss 0.015775   PSNR_noisy: 18.020229   PSRN_gt: 21.717777 PSNR_gt_sm: 18.535258 
Iteration 00136    Loss 0.015702   PSNR_noisy: 18.040343   PSRN_gt: 21.764403 PSNR_gt_sm: 18.582853 
Iteration 00137    Loss 0.015622   PSNR_noisy: 18.062628   PSRN_gt: 21.814708 PSNR_gt_sm: 18.629557 
Iteration 00138    Loss 0.015731   PSNR_noisy: 18.032397   PSRN_gt: 21.738686 PSNR_gt_sm: 18.675253 
Iteration 00139    Loss 0.015526   PSNR_noisy: 18.089311   PSRN_gt: 21.871188 PSNR_gt_sm: 18.722051 
Iteration 00140    Loss 0.015594   PSNR_noisy: 18.070454   PSRN_gt: 21.843518 PSNR_gt_sm: 18.769118 
Iteration 00141    Loss 0.015577   PSNR_noisy: 18.075173   PSRN_gt: 21.856063 PSNR_gt_sm: 18.816147 
Iteration 00142    Loss 0.015607   PSNR_noisy: 18.066911   PSRN_gt: 21.829640 PSNR_gt_sm: 18.862885 
Iteration 00143    Loss 0.015557   PSNR_noisy: 18.080681   PSRN_gt: 21.864288 PSNR_gt_sm: 18.910183 
Iteration 00144    Loss 0.015674   PSNR_noisy: 18.048251   PSRN_gt: 21.796528 PSNR_gt_sm: 18.956540 
Iteration 00145    Loss 0.015654   PSNR_noisy: 18.053861   PSRN_gt: 21.805240 PSNR_gt_sm: 19.002947 
Iteration 00146    Loss 0.015492   PSNR_noisy: 18.098793   PSRN_gt: 21.902996 PSNR_gt_sm: 19.047463 
Iteration 00147    Loss 0.015596   PSNR_noisy: 18.069741   PSRN_gt: 21.828273 PSNR_gt_sm: 19.090801 
Iteration 00148    Loss 0.015323   PSNR_noisy: 18.146563   PSRN_gt: 22.011807 PSNR_gt_sm: 19.134988 
Iteration 00149    Loss 0.015341   PSNR_noisy: 18.141493   PSRN_gt: 22.012917 PSNR_gt_sm: 19.180432 
Iteration 00150    Loss 0.015438   PSNR_noisy: 18.113959   PSRN_gt: 21.936932 PSNR_gt_sm: 19.225110 
Iteration 00151    Loss 0.015274   PSNR_noisy: 18.160478   PSRN_gt: 22.059955 PSNR_gt_sm: 19.270099 
Iteration 00152    Loss 0.015232   PSNR_noisy: 18.172478   PSRN_gt: 22.079456 PSNR_gt_sm: 19.314437 
Iteration 00153    Loss 0.015117   PSNR_noisy: 18.205244   PSRN_gt: 22.161847 PSNR_gt_sm: 19.359286 
Iteration 00154    Loss 0.015076   PSNR_noisy: 18.217155   PSRN_gt: 22.200646 PSNR_gt_sm: 19.403360 
Iteration 00155    Loss 0.015023   PSNR_noisy: 18.232408   PSRN_gt: 22.230082 PSNR_gt_sm: 19.446797 
Iteration 00156    Loss 0.015063   PSNR_noisy: 18.220835   PSRN_gt: 22.200529 PSNR_gt_sm: 19.491047 
Iteration 00157    Loss 0.015098   PSNR_noisy: 18.210758   PSRN_gt: 22.181513 PSNR_gt_sm: 19.534535 
Iteration 00158    Loss 0.014948   PSNR_noisy: 18.254276   PSRN_gt: 22.293637 PSNR_gt_sm: 19.578151 
Iteration 00159    Loss 0.015003   PSNR_noisy: 18.238094   PSRN_gt: 22.258393 PSNR_gt_sm: 19.619981 
Iteration 00160    Loss 0.014914   PSNR_noisy: 18.264121   PSRN_gt: 22.316995 PSNR_gt_sm: 19.663414 
